PLCB1,OXER1
MYD88,NGF
GPC4,B3GALT6
KRT2,KRT1
NOTCH1,WNT4
KRT18,KRT5
HDAC8,KAT5
TP73,SERPINF1
CUL3,KLHL25
CD151,LAMA3
HSPA9,TOMM40
MTOR,STAT1
SAFB2,CP
ATM,PLAG1
DDR2,COL3A1
BARD1,SRSF1
TRPV4,LCK
SDHA,CYB5R3
TGFB3,ITGB6
POT1,XAGE2
SOX5,TTC1
HNRNPA3,SF3B4
HOXB9,EP300
SRC,KIFAP3
RUNX2,AXIN1
CUL4B,SRSF1
CHUK,PRKCD
AIRE,MSH2
ELAVL1,TBL1XR1
PIK3CA,PTPN11
STAT1,IL27RA
KPNA6,STAT3
NAA15,PSMC5
HDAC8,B9D2
HNF4A,FOXJ3
NADK,PCSK9
GLA,HEXB
GCN1L1,APOC3
VHL,EEF1B2
SMCHD1,DDX60
RYR2,SETX
BTN2A1,OCRL
ABCB4,CHD9
GATA3,ATXN10
STAT1,MAPK14
PALB2,ADRA1B
INSR,ATP6V1E1
ELAVL1,NCSTN
VHL,UBA52
KIDINS220,NTRK1
SNAP25,PRRT2
FUS,PABPN1
USP7,PSMA3
TIAM1,SACS
UBC,AP1S2
ACTB,CSNK2B
ATP6V1B1,VTI1B
CUL3,DDX21
KITLG,STAT3
VPS24,CHMP4B
MCHR1,GNRHR
CTSC,ADSL
GBA,ZCCHC8
RFX4,ESR1
ARID4B,SLC2A1
CDKN2A,MAPK8
CUL3,DYNC1LI1
MC4R,POMC
POT1,TNKS
SARS2,ACTR8
SOD1,METTL14
FLNB,ANXA2;ANXA2P2
MYD88,SIGIRR
MYC,LMNA
WWOX,SYMPK
MEOX2,CDKN2A
CRK,CAST
STIL,PIN1
STAT3,PTN
FIG4,PIK3C2A
CHEK2,PRDX5
NAA15,CWC15
EIF2B4,FOXG1
PDGFA,PDGFB
PPP2R1A,UPF3B
MBD5,EIF2S2
AIRE,HIST1H3A
XPO1,ATP6V1B2
GNA14,PROK2
XIAP,DTX3
HNF1A,CCNE1
LIN7C,YAP1
HNF4A,SIRT1
HNF4A,KCNN2
MYH8,RUVBL2
SNAP29,VTI1B
POLR1A,POLR1E
TRPV4,TRPV1
PTGER3,PKP2
TTR,ADRA1B
PLIN2,CREBBP
TP53,PSMD4
ITGA2,LAMA3
WDR36,SARS2
FTL,TAF10
PSMA3,GORASP2
CUL4B,PHIP
RB1,PPT2
ACTB,DDX5
HNRNPD,ABCA7
CSF2RA,KIT
SMG7,RPL10
TUBA1A,TUBB2A
LIN7B,GRIN2B
SMAD2,MAPK9
JARID2,GJC2
NR5A1,CXXC1
RPF1,RBM28
SRC,SF1
AGPAT2,SLC23A2
FADD,IFIH1
CAPZA2,CLTC
PSMA3,EXOSC4
TAF1B,TP53
CXCL3,PLCB1
LPAR6,TNPO2
CHMP2A,MEN1
NFKB1,SQSTM1
EDNRB,P2RY2
CAV1,FAS
SLC25A31,NAA15
POMC,PTGER4
FXR2,DICER1
F2R,TAC3
EP300,FBXW8
EDNRB,PIK3R3
PNO1,WDR36
RLF,KRT1
PYGM,UBA1
UBC,COL12A1
GNB1,OR2T10
TRIO,CCDC19
UNC93B1,NPC1
CLTC,ISYNA1
CC2D1A,MYO5B
TP53,PIAS4
SNX2,EGFR
GJC2,AP1M1
GNB1,OR1D5
ARIH1,STAT1
F13B,FGB
VHL,GNB2L1
NDC80,SPG7
NPHS1,MAP2K6
PPP1CB,NONO
EIF6,RPS19
GRN,PIK3R2
DEPDC5,SORT1
SF3B4,VPS11
DNM2,MCC
TRIM65,RBCK1
CKAP5,KRT5
FLOT2,FLNA
COL4A3,MMP7
GABARAP,OPTN
GATA2,CYBB
CUL2,GCH1
LHX4,SMAD4
DDR1,DDR2
COL6A3,PDGFB
DGUOK,GPM6B
SDHB,GRHPR
CHGB,SYT1
UBE2D1,PSMB4
ATP6V1B1,FTH1
EPHA3,EFNB1
HNF1A,TTC31
VCP,SPAST
SETX,CRB1
AXIN2,APC
HNF4A,MINA
GRK5,LPAR6
RPL5,RPL26
DLD,PDHA1
CBLC,EGFR
KCND3,TUBA1B
SMAD4,GPNMB
YWHAE,PKP2
FTL,SH3D19
NCSTN,SRSF1
RPS19,EIF4H
F2R,TRIO
MIR144,FGB
RAE1,UPF3B
HNF4A,IGF1
PDGFRB,PTEN
EXOSC5,MYO5B
TOR1A,TOR1AIP1
VDAC1,HAL
HDAC2,GATAD2B
ITGA2B,THBS1
RBM28,BOP1
YAP1,ZNF259
RPAP2,DDX3X
IKBKG,PIAS4
SMAD4,NAP1L6
POT1,ACTB
CALM1,NEUROD1
HNF4A,C19orf66
ABL1,AIRE
EDNRB,TAC1
ARHGEF6,OCRL
SLC30A2,CCL4L2
RPS19,RPL18
FGD2,ARHGAP29
ITIH4,CXCR4
TDG,TP53
AP2S1,CD74
KRT5,DDB1
POT1,MAP4
MAPK3,GJA1
PLCB1,CXCL9
NEU1,CTSA
RPL10,UBA52
GRP,TRIO
XPA,ATR
PTPN1,BCOR
BRCA1,KIAA1949
CAPNS1,ALDH7A1
TSG101,SYNE1
EP300,FOSL2
CASR,KISS1R
BSCL2,C5orf62
MKRN3,MDM2
PEBP1,ASNS
GRIN2B,APC
RPL5,EIF3C
TCEA1,LARP7
C5,GNB1
YWHAQ,ACTB
CRKL,EGFR
ELF2,RUNX1
TACR3,PIK3R1
DAXX,PARK7
GNB1,GNRH2
C5,C9
ERCC1,ERCC3
BTF3,SLC2A2
KCNH2,UBC
HERPUD1,PSEN1
ASIP,MC3R
EIF4A2,UPF3B
SDHC,XRCC6
FUS,SNRPD1
RALA,PAX6
GOSR1,GOSR2
PSMB4,FNBP4
SOX2,SMARCC2
AP4E1,APOC1
PAFAH1B1,KIF2B
KRT5,PLAG1
SLC9A3R1,RNASET2
ATRX,CBX4
VHL,STUB1
SCNN1D,SCNN1B
BMPR1A,ERLIN2
UBQLN4,NPPA
ATP7A,USP9X
KIF26B,CASK
EIF3E,RPL10
RUNX1,CDK6
PRPF4,PFDN4
RPS4Y1,DNAJC3
PRKCSH,P4HB
FMO3,CYP4F3
PSMB5,TPM3
WDR45,PIKFYVE
STXBP2,UGT3A1
DVL2,CTNNB1
NRL,FIZ1
SMARCB1,RPS3A
PSMB4,SPATA5
POMC,NPBWR2
CNP,TUBA1A
TGOLN2,GPD1L
FAM75A7,APOC3
PAK1,PRKCD
SOD1,PABPC4
KPNA1,PMM2
BRCA1,POLR2I
ADRB2,VHL
HNRNPK,GFAP
NOTCH1,SLFN11
SSB,XIAP
CREBBP,HIST1H3A
PLEC,ACTB
YAP1,TEAD4
SETD1A,PNISR
MAPK9,CTNNB1
SNTA1,AQP4
DGKZ,PLCB1
TRIM63,TNNI2
HNF4A,NFATC2
SRC,VCP
PPP1CB,TGFBR1
RPL10,DHX57
PSMB9,GRIP1
FAM53C,TRAF3
NKX2-5,PDIA2
CXCR4,CCL5
RAD50,RRM2B
ITGA2B,SHC2
TIAM1,C3
C12orf10,FLNA
MED19,NFKBIA
TSHR,FN1
CTSA,PCSK9
CFTR,VCP
SNX2,INSR
TGFBR1,RPS27A
INSR,RERG
SPTAN1,MSN
PMS2,CORO6
MKRN3,TRIM5
EP300,RXRA
HNF4A,DDX21
PARK7,GATAD2B
CDC25C,TP53
PARK7,MTA1
BMPR1A,PTRF
COG6,HIST1H2BL
TRIB3,PTPN11
EPS15,ACTB
SCP2,SLC25A4
DIAPH1,HSPA4L
MFNG,JAG1
SERPINE1,ELANE
SGK1,KCNJ1
POLR2L,POLR3B
FUS,UPF3B
NCSTN,UGGT1
ADCY5,PRKAR2A
LEP,MED26
CLTC,SOAT1
NFKB2,NCL
GJA5,RIMS3
CSTF2,CDKN2A
FNBP1L,DIAPH1
SMN1,RPL13
KCNMA1,DLD
GABRA1,HOXC9
TRIO,TRIO
PCNT,TSGA14
CA9,PDHA1
PSMA3,CPSF2
SMAD1,SMAD2
GNB1,OR5H6
UBC,ATP13A2
NKX2-1,PTRF
C12orf59,LRBA
GRIN2B,ARPC4
TTN,IGDCC4
EGFR,RPS27A
MUC2,MLH1
EFTUD2,HNRNPH2
ELAVL1,STUB1
ABCB7,UQCRC1
DTNA,DBT
ADCY5,NPBWR2
TRAF3,RNF135
UBE2D2,MKRN3
INSL3,MC4R
BRAF,KIDINS220
UBE2G2,HLCS
AP1S2,HLA-DRA
UBC,IQCB1
CFTR,KIF3A
CHEK2,POLA2
YARS,RPL5
C9orf41,RNF113A
TGFBR1,GNB2
IKBKG,ZBTB3
MME,SSR4
TRAF1,HSPA9
CUL3,HNRNPH3
ZNF592,ZMYND11
HNF4A,CLPB
POMC,SSTR5
ACSL3,PMM2
SMCHD1,TRIM25
HNF4A,IL1RAP
EPS15,SOD1
ARF3,SOD1
COTL1,ARHGDIA
LMTK3,ZBTB16
CTAGE5,KRT14
NFKBIA,SFPQ
INS,RPL7
DYNC1H1,PSMD3
RALB,HRAS
CD40LG,APOA1
KRAS,EEF1A1
PSMB4,CPSF2
DMD,DERL1
GALNS,PRELP
DPM1,ZBTB16
CALB1,CACNA1D
MMS19,ESR1
PARK2,TUBA1A
ADA,GRB2
BAG3,CRYAB
MAGOH,EFTUD2
TRA2A,LARP7
ABAT,ASL
GNA11,SNORA29
PPP2R5D,RPS3
APC,RANBP2
SLC25A41,HRAS
MRPL2,PUS1
SMARCE1,DAZAP1
DCK,RRM2B
ESR1,RPSA
AP2S1,HLA-DRB1
MFN2,HUWE1
TSG101,MKRN3
DDX6,POLR3B
VPS4B,EFTUD2
TP73,RB1
MAP3K4,ACTB
SGTA,TNFRSF1A
FAS,MET
NRAS,SRC
GRIN2B,GSN
CRHR2,ADCY5
SERINC2,ATP6V0A2
SRC,SRC
MTNR1B,RXFP4
MYC,POLH
AP2B1,SRC
MDC1,FLNA
KPNA2,GCH1
SHOC2,INPP5B
NAA15,TBX3
S100A13,SYT1
NOS3,APOE
SYT1,GART
DMD,UTRN
KLHL20,ACTA1
HNF4A,RPS25
ACTN1,SPTAN1
TRAF6,TNFAIP3
SMAD3,ANXA7
CUL3,ERAL1
PARK2,PSMB4
AGA,EXOC6
NCBP2,PRPF4
CREBBP,NCF2
STUB1,HSPBP1
C3,CR2
UBR5,TP53
SPINT2,APP
ACER3,HK1
MFNG,NOTCH1
SF3B14,TXNL4A
SLC12A3,UBC
HSPA4,SNCA
EZR,VHL
CSF1,FLNB
PALB2,SCAF1
FUS,PPP1CA
EDNRA,PIK3R6
IFNA14,STAT1
SPG7,KRT40
PSMC5,MSH6
PIWIL1,DICER1
POT1,AZI1
PRKCD,PLCB1
RRP12,WDR36
PSMA3,SRRT
SON,PRKRA
COX17,TP53
SMC1A,TAOK1
UBC,SMC3
PPP2CB,PDCD10
RPL10,GNB2L1
EP300,CCNT1
HSPD1,KRAS
TCF4,IRF7
RRBP1,RPL5
HNF4A,WBSCR22
ITPR3,SOS1
UBC,SLC9A6
CKM,ABCB7
HNF4A,TM9SF1
EPB41L1,PSMA5
NAA15,PSMD3
SUSD4,LRP5
AGPAT2,ANKRD28
IQGAP1,FLNB
SOX5,NFKBIB
PPIF,PMM2
FAS,PRKCA
PSENEN,ERBB4
EFTUD2,IK
GABARAPL2,TMC1
PDGFA,KRAS
CDC5L,MSH6
FOXO1,FSHR
PTGFR,TAC3
SNCB,SNCA
PTBP1,SF3B4
ROCK1,DES
ADORA1,GNB1
AKR1A1,SOD1
DICER1,PDZRN4
RPS6,FLNA
BTF3L4,UBE3A
EDNRB,PLCB2
SCNN1B,SCNN1A
APOC2,F7
CCT2,TBK1
POMC,GPR109B
RPL5,RPL11
ARRB2,MYH10
VEZT,MYO7A
ESR1,NPEPPS
ATP2A2,RABL3
IKBKG,PHF7
PQBP1,EFTUD2
EP300,NPAT
EGFR,HNRNPK
ROBO3,APOC3
PRSS23,TCF12
XIAP,BCL10
TUBB2B,BSCL2
UBA52,GCH1
ADCY8,PTHLH
NDUFB3,ND2
UBE2D1,NBN
CDK12,RBM28
UBC,SPAG1
POMP,PSMB3
KRT10,CFH
EIF2B2,KIAA0174
PPP6R3,GCH1
STAT3,ANGPT1
SRC,PRKD1
PRKCD,EP300
COPS6,CLPB
TP53,KDM4D
GJA1,RPLP1
ILF2,RPL10
ARG1,ATP6V1B2
RPS27,RPL37A
RPL5,RPL37
IKZF3,HRAS
UBE3A,PSMA1
GNB1,OR2AK2
CUL3,AKAP8
NCL,TERT
DRD4,STUB1
HNF4A,DUSP23
FAM46A,HTRA1
DTYMK,VHL
GRIN2B,RASGRF2
SYTL1,NRXN1
SKI,TGFBR1
C12orf57,TACC1
SMN1,ADAMTS10
SCN2B,FAM114A2
NUP62,UPF3B
BRCA1,SMARCC2
NPHS1,SLA2
KCNQ3,SPTA1
IWS1,SETD2
ATP13A2,PDIA6
GATA4,THAP11
ESR2,TRIP4
TNRC6A,FANCM
NKX2-3,PDHA1
BBC3,CFB
CDC42,TRIO
NLRC4,SCN5A
RBCK1,RNF126
NECAP1,UFC1
INS,RPL26
RPL10,RPL19
ESR1,EP300
PRKAG2,YWHAE
COL1A1,CRTAP
MIS12,CDKN2A
CUTA,VHL
PAXIP1,LARP7
FGFR1,ITK
UBC,MUTYH
CUL3,RPL18
DDX3X,EIF3H
NR1I2,SLC6A3
RPS19,FAU
NBN,CCNE1
STAT3,STMN3
CBX5,POGZ
DCLRE1C,SPATA20
CREBBP,SRF
TTR,SP110
MYH10,CLTC
HTR2B,EDNRA
ESR1,PSIP1
NFKB2,HNRNPU
SSR1,VHL
RPS9,UPF3B
HNF4A,PPIL1
CFTR,RAB27A
SIP1,IKBKG
VAPA,TNFRSF1A
CUL3,PRPF40A
HSPA8,VCP
GHR,STUB1
RNF216,TLR4
RRP1,FOXE3
HIST2H4B,PMM2
GJA1,DCN
TAL1,TCF12
GRIN2B,RAB3A
AP1M1,CTLA4
BMPR1B,GDF9
SF3B1,EFTUD2
FGB,TLN1
HNF4A,EPB41L4B
PDHA1,PDPR
DVL1,SMAD4
RPA1,TP53
PPP2R2C,MTOR
HNRNPM,EFTUD2
TBK1,RPLP0P6
HSP90AA1,KCNA5
EGFR,ARHGEF7
GALT,CCT2
CCNL1,PCSK9
GJA1,TXNRD1
INS,RPL24
GNAS,ARMCX3
BMPR1B,CDK4
ATP5B,MAF
SPTAN1,TES
CTSB,REN
SMC3,SYNE1
SCN10A,PRX
UBC,VPS13B
POLR3F,POLR3B
RAF1,NGF
CUL3,XAB2
CASR,CYSLTR2
ACADM,TGS1
ASCC1,C3
MAPRE1,HDAC8
ARID4B,GLI2
CYP11B2,CYP11A1
NFX1,DMD
IQCB1,FSCN1
PDHA2,PCSK9
PHGDH,LDHB
SH3GL2,NTRK1
PGRMC1,BCAP31
L2HGDH,GM2A
ITGAX,ITGB4
CHID1,GAA
PPARG,MED24
SLC2A4,PFN1
AQP2,IRX1
HTR4,MC3R
TIAM1,TTN
HDAC1,GJA1
PLCH1,OCRL
E2F1,SQSTM1
UBC,HSPA9
CAPZA2,TPM2
SMN1,PKM2
ITGA4,VPS35
CSNK2A1P,PRKAG3
TLR3,MAP2K6
KLHL12,CUL3
PHGDH,APIP
OPN4,KISS1R
GNAI2,MYH10
CPNE4,MAP2K1
EWSR1,NONO
ZMPSTE24,KIAA2013
IL5RA,NRAS
HTR4,TSHR
HNF4A,STAG3L4
PTPN11,ARHGAP1
FAU,RPS27
SIGMAR1,HSPA5
LAMA3,PLEC
MCRS1,RET
EGFR,ERBB4
EP300,CXCL10
GTF2F1,EFTUD2
NONO,PRKAA2
INPP5K,ATP7A
CUL3,KBTBD6
RPS27,RPL21
VCAM1,KRT8
MYD88,BST2
AADAT,SPTLC1
PRPF4,SART1
MYH10,DDX1
FOXC1,CDK2
RB1,MORF4L1
ZIC2,PYCR1
PRDX4,CLTC
HNRNPD,NHS
ESR1,MACROD1
RB1,CDT1
BRWD3,MRPL14
PTPRU,CTNNB1
ASNS,COASY
ATP5J2,NDUFB3
NSMCE2,TSNAX
MSH6,MSH3
THPO,TPO
FCAMR,TP53
DVL3,LRRK2
MYH11,TAF9B
PRPSAP1,PSPH
COL17A1,DSP
BLM,SMC1A
TGFBR3,INHBA
PSMB4,PSMA1
KRT16,HPX
ACTB,SPTBN4
MAP1LC3A,CLTC
VANGL1,NARF
MAPK1,MAPT
DNMT3B,EZH2
KRT14,ITGB5
DMPK,PLN
LPAR6,LRIG3
TP63,SACS
CUL3,C17orf42
USP7,HSPA9
ATF1,BRCA1
CSNK2A1,KLF1
SYNE1,RAB6A
ZMYND11,TRAF3
GBA,CBL
GGA2,CLTC
KCNJ4,DMD
ESR1,CCL11
AZI2,TBK1
TRAF3IP2,TRAF3
S100A8,TUBA1A
BTBD2,SMAD2
ITGA4,RPS19
AGA,DICER1
SNW1,SHOC2
CD3E,ITK
ITGAX,ITGB2
STAT1,SNX6
AP1S2,HLA-DPA1
ATP6V1B1,RALB
GNAS,NUCB2
SMAD3,SVEP1
FLNB,CPM
PTEN,MAGI2
BMPR1B,NAA20
MAP2K1,HSPA1B
PFN1,ACAA2
PRPS1,PRPSAP2
MKRN3,TRIM35
NEDD8,KRT1
HDAC3,BCOR
ITGB1,CACNA2D1
AAAS,NUP88
AP1S2,HEATR5B
PSMG2,PSMB9
APC2,CDC23
PLCG2,OCRL
MYH10,TMOD1
CASP9,RB1
PRKD1,TP53
TACR2,PLCB1
HRAS,KRAS
HNF4A,PLEKHA8
CYC1,CLTC
HNF4A,P2RY14
SMAD3,RPL3
EDNRB,TAC3
RRAS,SRC
GRB2,ESR1
PIK3R2,TGFBR1
EXOC7,TPM3
PAK2,POR
PRPF4,SNRPG
HNF4A,ABHD6
SPAG9,NFKBIA
CREBBP,CCNC
ITGB3,CD47
CEBPZ,TUBA1A
METTL23,PDIA6
SSR4,RPS23
GDI1,ARHGAP31
IKBKG,HPCAL1
MAD2L1,ADAM17
HNF4A,BCLAF1
UROD,FECH
SCN5A,ST13
PPP2R5D,GCH1
SEC62,GLUD1
IFNA7,IRF3
ESRRA,FUS
ELN,LOXL1
GPR158,MYO5B
HNF4A,RBM42
RPL10,PHIP
ALB,TTN
CDCA5,RAD21
USP21,GATA3
PRKCD,PLCD1
ALK,PDX1
TRIP11,PSMC5
CCT3,MYO5B
ACTB,MMP14
ASS1,ELN
UBC,SPINT2
ARHGDIA,STARD13
TPM3,MYO5B
PRKAR2B,PYGM
ACTB,GFAP
ACTB,RAB5C
ARG1,SORBS3
ARHGDIA,SUMO3
GJB2,SKP1
CREBBP,ME1
EGFR,PTPN11
FIP1L1,CDC73
INS,RPL18A
HSPA9,SSTR3
ADORA2B,CXCR4
RPL10,RPS18
RB1,RPS27A
PIK3CA,FGFR1
MYCL1,LDLR
KRAS,RAP1GDS1
LRRK2,RAC1
NOTCH1,EP300
SNCA,A1BG
NTN1,PTPN11
EP300,ATG7
RABEP1,TSC2
MC3R,SCTR
HINT1,RUVBL1
CDK1,TGFBR2
RAC1,CHN1
SIAE,ODZ3
PTCH1,TEC
BRCA1,RPRD1B
AQP2,AQP4
HNF4A,CNOT2
RBM28,PES1
PDE3A,ADCY7
DYRK1A,APP
FSHR,SCTR
DNM2,SRC
DSP,KRT6A
TSC1,IKBKB
ACTR2,SLC25A4
STAT3,ZFPM2
RPL10,PELP1
PLS3,RARS2
DYNC1H1,RANBP9
NOD2,NFKB2
MYC,RPS19
FHL1,PRNP
EDNRA,PLCB1
FBN2,ITGAV
ATR,CHMP4A
INS,PAX4
LOX,ELN
AHCY,SOD1
SLC25A32,PMVK
HSP90AA1,DDR2
NUP160,GCK
PENK,CXCR4
DPH1,HSPA9
HNF4A,ATF2
HNF4A,NEK7
OPN4,TBXA2R
BUB1B,HDAC8
FGFR3,KL
SMARCB1,SASH3
CUL4B,RPS8
RFXANK,PPT1
HNF4A,AIP
NME3,PMM2
AKT1,TERT
COPS5,SDHA
CAV1,RIPK1
ADRA1A,TAC3
SLC25A3,ATP6V0A2
RRM2B,PDHA2
KCNMA1,PDIA3
HNF4A,UMPS
DUS1L,PAH
NLRP3,COPS7A
CDK3,PPP2R5D
ARFIP1,STAT3
NTHL1,SUMO1
HNRNPAB,ARHGDIA
NCOA5,PINK1
MYD88,TICAM1
LY96,MYD88
GNE,RIF1
AXIN1,LRP5
SMG7,RPS27
USP5,XIAP
CKMT2,ELN
SLC25A22,ATP1A3
SHARPIN,TNFAIP3
RPL10,EIF2S1
SMN1,HNRNPH1
FAHD1,CPT2
DCAF15,ZEB1
HNF4A,SERPINA10
RPE65,RBP4
GCH1,GALT
MAPK8IP2,EGFR
PDHA1,COX5A
ATRX,WDR76
BCL2L1,SNCA
SMN1,EXT2
HLCS,RCL1
MYO7A,MYO15A
APOA1,PLTP
CAPN1,RAP1GDS1
SMN1,MPP1
NOTCH1,IKZF2
RAD21,NUF2
OPHN1,GDI1
CYP2D6,SLC25A4
TP63,HSF2
EXOC7,GRIA1
AP1S2,HLA-DPB1
ASF1A,ESR1
ENG,ARRB2
PPP1CB,ACTB
HNRNPD,MSH2
TAF7,IKBKG
ESR1,RPS25
KRT5,SCN5A
SLC39A4,ATP13A2
CCNB2,TGFBR2
SMARCB1,MLLT1
TACR3,HCRT
NOTCH1,ABCF2
ACTB,FLNB
ACTA2,TPM2
SLC25A5,RPL5
CREBBP,NFYC
LPAR6,KALRN
RPL10,MLLT6
MITF,PATZ1
UBC,VPS35
HNRNPA2B1,SF3B4
CEP152,RAF1
UBC,SALL2
VHL,SP1
UBXN1,BRCA1
NSD1,ESR1
HNF4A,MEPCE
KIT,CBL
ZMYND11,NCOR1
ALS2,TRAK2
HSPA4,KCNH2
GJA1,SRCIN1
NUDT21,CTNND2
PSMB8,PSMD5
ENTPD2,NT5E
PRKAG2,ACACB
SDHA,NDUFS2
RPS27,RPL19
MED13L,MED10
BARD1,UBE2D3
PPM1K,BCKDHA
CRK,ACTB
MIR16-1,TP53
YWHAQ,PRKAG3
POMC,CCR9
PLD1,RPS6KA3
SNAP29,NR2C2
GOPC,TMEM67
SRF,TEAD1
XIAP,RIPK4
GNB1,OPN4
HNF4A,ARL4C
HNF4A,DSN1
SRC,TRIP6
NLRC4,ST13
CHKA,MYO5B
ATXN3L,VCP
LARS,ATP6V1B2
KIF1B,ARHGAP1
GCH1,HIST1H2BL
CTNNB1,CTNND2
IDH3B,VPS13C
TOPORS,NONO
PADI4,TP53
MYH10,ARPC2
LPL,MED26
CUL4B,DPY19L4
FASTKD2,PON2
FUS,DNAJC7
NCSTN,NDUFA13;YJEFN3
NLRC4,FGA
QRSL1,ATP6V1B2
HNF4A,OAZ2
G3BP1,WDR36
FOXP3,FOXP1
TERF2IP,SBDS
COL11A2,PCOLCE
DAO,AGXT
EIF2B2,GGPS1
EGR1,STAT1
CFH,CFHR1
CSNK2B,FGB
TUBG1,CPT1A
VWF,CALR
EFTUD2,SNRPF
PLCB1,XCL1
MCF2,GNB1
DYNC1H1,TUBA4A
PSMD10,ASL
TMEM180,GNA11
BMP4,NBL1
CDK2,SLC25A4
KRT16,KCNMA1
APOE,ECSIT
SIRT7,ATP2A2
RAF1,RBL2
SNRPA1,VHL
PPARG,RXRG
LHCGR,ADCYAP1R1
TRIO,PPM1F
MTHFD1,NPEPPS
PRKCD,PDPK1
NCSTN,SUPT16H
PRDX4,PMM2
RPS27,KIF18A
SMARCB1,XPC
AHCYL1,STUB1
TCF4,PBLD
KRT16,LAT
COPS7A,CUL3
MAGI3,PTEN
KLF3,MYO5B
GRIN2B,RAB37
TBXA2R,GNAI2
POT1,TUBB2A
IRAK2,TARDBP
GLI3,PRKACA
LNX1,SRC
CSF2,KRAS
PDE4DIP,PCNT
SNW1,MSH2
KRT5,DCD
SOD1,RAE1
ESR1,EIF4A1
EGFR,GRB2
ITCH,USP9X
DGUOK,SYT1
GRP,TAC3
NCOR2,PPARG
CHRND,CHRNA1
VANGL1,CD82
HNF4A,CFL2
MYCBPAP,VHL
UBA52,SLC2A1
VAPB,VPS13A
SPAST,ATP6AP1
RAF1,CCNG2
IKBKG,BIRC2
KLHL3,RBX1
CD68,GFAP
C14orf129,EXT2
ZNF232,APOC3
VHL,HNRNPK
EIF4E,CAPN1
FGFR3,FGF4
ESR1,MPG
C6orf25,PTPN11
HNF4A,CHCHD3
KCNMA1,ATP5B
PRLR,PRLR
USB1,C1orf212
EIF2B1,AGPAT2
PPARA,TBL1XR1
SNCA,FXR1
UBC,BCOR
TARDBP,HSP90AA1
OPHN1,ARHGDIG
CUL3,ENC1
HNF4A,C22orf23
HCK,KIT
CCNB1,RB1
YAP1,WBP2
SSR3,RPL5
AFP,AP4S1
BMPR1A,LPGAT1
HSPA9,SAR1B
CPT2,NCOA1
VAC14,ATR
PPM1G,SLC25A4
IRF6,ZBTB3
PRPF4,HNRNPA3
TERT,TERC
NEB,SOS1
UBE2R2,ARHGDIA
PAK3,GPD1
MYCN,CHN1
SPTAN1,ANXA6
PCSK9,PYCR1
MYBPC3,TNNI1
TNIK,SOS1
CSF1R,NONO
NDUFV1,NDUFS8
P2RY1,SRC
KIAA1712,DICER1
HNRNPD,MTOR
SRC,KHDRBS1
FBLN5,FBN2
PSMD13,MSH6
ITK,TRAC
RARA,ANKRD11
HIST3H2BB,CDKN2A
EXOC5,ACTB
UBC,GRIN2A
ITGA4,SDHB
GNA11,KISS1
ISG15,STAT1
CUL3,CRYZ
MLH1,PARP12
SOSTDC1,BMP4
CUL4B,RPL24
PTCH1,KIAA1161
CREBBP,MED13
HDAC5,BCOR
METTL6,STIM1
UBD,SPTLC1
SMAD2,CSNK1D
PRKCD,GRM5
CAPN1,EFHC2
C12orf35,F7
ARHGAP21,PMM2
HNF4A,UGT2B11
IFIT1,MCCC1
RBM8A,RNF113A
POMC,ADCY8
NCOR2,SMAD2
CSNK2A1P,CBS
PFN1,C1orf103
LMNB1,SERPINA3
PRPF4,HNRNPF
KRT16,DERL1
PTRH2,ATP6V0A2
GNA15,PRKCD
FLNA,FYN
YAP1,SMAD6
POGZ,CREB1
KRAS,PTGR2
CASR,NMS
ACTR8,ACTB
VAV3,EGFR
KCNJ1,SLC9A3R1
HIPK2,DYRK1A
CACNA1A,GNG3
USP9X,PNMA2
RRP9,WDR36
PSEN1,IRAK2
ELAVL1,TNFRSF1A
PRNP,ZKSCAN8
RAD21,RPS3A
AGA,TTPAL
LMOD1,ACTB
HNF4A,CDK12
CACNG3,TBX19
C9,PRSS12
RPL18,UPF3B
TP53,PRKRA
HNF4A,TF
CREBBP,MED12
H2AFX,HEXA
AHCY,RAF1
DICER1,CTSL2
TP53,TYMS
ATP6AP2,STUB1
FOS,EP300
CSNK1G1,IGHMBP2
NSUN2,THG1L
FBL,MYH8
E2F4,RB1
PFN1,VIPR1
PIK3CD,PIK3AP1
FANCF,FANCM
SLX4,CHEK1
ARHGDIA,G3BP2
APOE,FN1
BRCA1,ATRIP
BMPR1B,FKBP1A
ACTB,SMC1A
CUL4B,TFG
MAPK3,PLCB1
SLC2A1,VAMP2
GNA11,GCGR
GNA11,ACTR2
OPHN1,TIAM2
DDX6,TXNL4A
HNF4A,LOC151534
BMP4,FBN1
NDUFA7,SBDS
KALRN,KISS1R
PTPN11,FASN
RB1,HNF4A
DNM1,SRC
HES1,NOTCH1
GNA14,LPAR6
USP48,VPS35
APOE,FBXL12
UBXN7,CUL4B
DLG1,ACTA1
EIF4A1,UPF3B
PYGM,EIF2S1
CCDC14,TTLL5
NFKB2,HSPA1L
SLC2A1,DDX54
SARS,PYGM
SHARPIN,PTEN
SERPINB6,PLAU
LRRK2,ACTG1
PTCH1,SHH
GDNF,RANBP9
MYO5B,FNBP1
RPS27,RPS9
SETX,CFH
MSH6,TOPBP1
ESR1,CENPT
MTNR1A,RFXANK
DCX,CUL1
RPL10,EIF3H
PARK7,NDUFS3
GNAI1,PLCB1
