HLA-DRA,STAT1
C5orf25,TUBA1A
SMARCB1,BTBD9
PROK2,TRIO
SMAD3,SMAD2
CETN3,STXBP2
CREBBP,GATA1
ACTN4,ESR1
ANXA7,WDR73
GNB1,OR2F2
TRIP12,CDKN2A
GNRHR,TRIO
CTNNB1,PSME3
RPL5,SEC61A1
TRIM21,APC
AK1,NBAS
DERL1,CFH
GTF2H2D,ERCC3
PTPN1,CTNNB1
SUMO1,PARK7
KIRREL2,VHL
NDUFS8,NDUFV1
CTAGE5,SCN5A
BCL7C,ARID1B
HRH2,INSL3
PSMB2,PSMA3
PUS3,RPL5
SNW1,DIAPH1
SIAE,GDF11
DEPDC5,MTHFD1
LAMA1,COL7A1
RXFP1,MC3R
EIF2S1,FOXG1
ATP6V1B2,PRTN3
SNTA1,HTR2B
PKD1,FN1
ADA,DCK
RUNX1,NCOR1
CAV1,ILK
SHMT1,ITPA
HTRA1,GOLGA2
FH,ASB6
HSPA8,NLRP12
GCH1,SLC25A31
CUL4B,KRT5
FKBP1A,TGFBR1
GNB1,XCL2
PRKCE,CAV3
SMARCE1,SMARCC1
CD86,SRC
IRF3,TNFSF10
APLP1,RNF113A
GLG1,DDX3X
BRCA2,FANCG
SDHB,NDUFB6
DLG4,SDHA
INS,SSR2
GYS2,TBX1
RPL10,EIF2AK2
ATR,KDR
MTHFD1,NAA11
TAL1,RB1
STXBP1,NEFH
POLE4,SLC25A4
CRYAB,UBC
PSMA3,EFTUD2
HDAC8,PMF1-BGLAP
HNRNPR,DDX3X
CBS,TARS
COPB2,GALT
RPS19,EIF2A
SMC3,RUSC2
ATF2,SLC2A1
SDHA,CYC1
AGA,PLAG1
RPL10,PHF6
MKRN3,UBE2L3
RRM2B,DDX18
POLR3B,BDP1
AAAS,TPR
RPS27,ERCC6L
PTH1R,AVPR2
UCHL1,DDB1
SCN2A,CALM3
SMAD3,TF
SNCA,SNCA
STAT3,FOS
BMPR2,CAV1
CHEK2,TCP1
APC,NAV1
ESR1,MED4
EIF5,PAFAH1B1
ADCY5,NPW
CUL3,RPL26L1
CDK8,SMC1A
SH3KBP1,SQSTM1
ATP5A1,NDUFB3
ERBB2IP,GRIN2B
CASK,DLG1
EDNRB,TRH
FGFR1,JAK2
MAP2K2,NRAS
SMARCA4,HNF4A
CHMP4B,CYBRD1
YWHAQ,LMNA
NUP43,GCK
UBA52,SCN5A
MCM3,ATR
BARD1,ING5
FLNA,ZBTB20
HDAC1,STAT1
ILF2,SF3B4
EID3,NSMCE2
SGCZ,DMD
UBC,WAC
MAP2K1,ZNF277
KIAA0101,CLTC
ELN,MFAP3
ATP6V1G3,TCIRG1
KRT5,PPBP
FYN,WAS
FAM71E2,GFAP
CYFIP1,EFTUD2
HLA-DRB1,VCP
NCOA3,IKBKG
ADM,MC1R
TP53,TADA2A
FGR,SLC25A4
CUL4B,NUDT16L1
TMEM87A,ASCC1
SLC25A4,SV2A
ATP6V1A,SLC25A4
APOA1,CREBBP
ARRB2,NSUN2
CHRNB1,COPS6
HNF4A,SCD
AR,RB1
TP53,PIAS1
GNB1,OR5W2
CFTR,IL1RAPL1
CACNA1D,KCNB1
CALM2,TCF4
SNAPC2,POLR3B
PEX5L,RAF1
GTF3C5,POLR3B
C12orf4,SMPD1
GLDC,AMT
SACS,FN1
CUL3,RPL17
POLG2,POLG
VPS35,VPS36
WDR5,SETD1A
C9,CDX2
NLRC4,F7
APOE,UBC
B3GALNT1,ALOX12B
MECP2,SIN3B
MC3R,PTH2R
STUB1,DNAJC13
CHEK2,COPB2
RPL10,RPS29
C3,IL8
SHC1,SRC
SOX5,RPS2
NDUFB3,ND6
PRKCA,CTNNB1
HSPA9,ATP6V1A
ESR1,CALM2
PPP6R2,GCH1
FSHB,PLCB1
STX2,STXBP1
CLTC,UBE2I
VANGL1,DVL3
LIG4,PEX10
RYR2,BBC3
JARID2,APOC3
UIMC1,CASK
UBE4B,USP9X
MAP3K7,STAT3
ACTB,AKT2
EP300,SNW1
EHMT1,CBX3
RXRA,MED12
FLNA,ITGB1
CAV1,NGFR
TARS,VHL
FLNA,RAI14
CAPN2,PAFAH1B1
SMAD2,CLTA
